LoanId,LoanType,RunDt,LoanStatus,CurrentPrincipalBalanceAmt,InvestorId,DelinquentPaymentCount,InterestPaidToDt,PropertyState,Source,SETTLE_DATE,DAYS360_DAYS,ACCRUED_INTEREST,price_b1 X UPB,(price_b1 X UPB) + Accrued Interest,price_b1,price_b3,price_b7,price_b4,price_b6,price_b5,price_b3 X UPB,price_b7 X UPB,price_b4 X UPB,price_b6 X UPB,price_b5 X UPB,FLAG_B1,FLAG_B2,FLAG_B3,FLAG_B7,FLAG_B4,FLAG_A1,FLAG_A2,FLAG_B5,NEC_B1,NEC_B2,NEC_B3,NEC_B7,NEC_B4,NEC_B6,NEC_B8,NEC_B5,TIMES_ALLOCATED,TOTAL_VA_USDA,MAX_NEC,Pool,POOL_CD_UPB,POOL_AB_UPB,price_b6 x POOL_AB_UPB,DelinquentPaymentCount x UPB,b6_pool1_upb,price_b6 x b6_pool1_upb,b6_pool2_upb,price_b6 x b6_pool2_upb,b6_Pool_Flag,Flag,Original_Variable,B1_ALLOCATION,B2_ALLOCATION,B3_ALLOCATION,B7_ALLOCATION,B4_ALLOCATION,B6_ALLOCATION,B8_ALLOCATION,B5_ALLOCATION
1,FHA,1/14/2022,60 Days Delinquent,52885.37,442,3,10/1/2021,MI,GNMA,2/1/2022,120,528.8537,52770.62052,53299.47422,0.997830223,0.979019559,0,0.997153175,0,0,51775.81164,0,52734.81459,0,0,1,1,0,0,1,0,0,0,148.18,148.18,-846.62,0,112.38,0,0,0,3,0,NEC_B1,A,0,52885.37,0,158656.11,0,0,0,0,UNK,1,B2_Selector_1,0,1,0,0,0,0,0,0
2,FHA,1/14/2022,120 Days Delinquent,139185.61,440,26,11/1/2019,IL,GNMA,2/1/2022,810,12526.7049,130349.1026,142875.8075,0.93651278,0.964593217,0,0.983232284,0,0,134257.4953,0,136851.7853,0,0,0,0,0,0,1,0,0,0,-6467.13,-6467.13,-2558.73,0,35.56,0,0,0,1,0,NEC_B4,D,139185.61,0,0,3618825.86,0,0,0,0,UNK,1,B4_Selector_2,0,0,0,0,1,0,0,0
3,FHA,1.64212E+18,120 Days Delinquent,120621.13,82,8,5/1/2021,SC,Balance Sheet,2/1/2022,270,3166.304663,120120.8175,123287.1222,0.995852199,0,0,0.998315014,0,0.995918314,0,0,120417.8851,0,120128.7924,1,0,0,0,1,0,0,1,21.11,0,0,0,318.18,0,0,29.08,2,0,NEC_B4,A,0,120621.13,0,964969.04,0,0,0,0,UNK,1,B4_Selector_3,0,0,0,0,1,0,0,0
4,FHA,1/14/2022,60 Days Delinquent,143583.72,419,3,10/1/2021,NY,GNMA,2/1/2022,120,1675.1434,142606.1848,144281.3282,0.99319188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-722,-722,0,0,0,0,0,0,0,0,NONE,A,0,143583.72,0,430751.16,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
5,FHA,1.64212E+18,120 Days Delinquent,220901.55,80,6,7/1/2021,TX,Balance Sheet,2/1/2022,210,3865.777125,221655.099,225520.8761,1.003411244,0,0,0.994331169,0,0.990789465,0,0,219649.2965,0,218866.9286,1,1,0,0,0,0,0,0,1137.76,1137.76,0,0,-868.04,0,0,-1650.41,2,0,NEC_B1,A,0,220901.55,0,1325409.3,0,0,0,0,UNK,1,B2_Selector_5,0,1,0,0,0,0,0,0
6,VA,1/14/2022,120 Days Delinquent,94777.09,440,29,8/1/2019,PA,GNMA,2/1/2022,900,8292.995375,93396.74052,101689.7359,0.985435832,0.970674319,0,0.991782701,0,0,91997.6873,0,93998.27832,0,0,0,0,0,0,0,0,0,0,-1017.97,-1017.97,-2417.02,0,-416.43,0,0,0,0,94777.09,NONE,D,94777.09,0,0,2748535.61,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
7,FHA,1/14/2022,60 Days Delinquent,102616.18,423,3,10/1/2021,DE,GNMA,2/1/2022,120,1026.1618,101112.2988,102138.4606,0.9853446,0,0,0.994783514,0,0,0,0,102080.8841,0,0,0,0,0,0,1,0,0,0,0,-690.17,0,0,278.42,0,0,0,1,0,NEC_B4,A,0,102616.18,0,307848.54,0,0,0,0,UNK,1,B4_Selector_7,0,0,0,0,1,0,0,0
8,FHA,1/14/2022,60 Days Delinquent,97522.92,440,3,10/1/2021,TX,GNMA,2/1/2022,120,1462.8438,98851.84097,100314.6848,1.013626755,0.998328765,0,1.013664876,0,1.026158763,97359.93632,0,98855.55862,0,100073.999,1,1,0,0,1,0,0,1,1020.59,1020.59,-471.32,0,1024.31,0,0,2242.75,3,0,NEC_B5,A,0,97522.92,0,292568.76,0,0,0,0,UNK,1,B5_Selector_8,0,0,0,0,0,0,0,1
9,VA,1/14/2022,120 Days Delinquent,206678.45,406,26,11/1/2019,IL,GNMA,2/1/2022,810,13950.79538,204151.805,218102.6004,0.987774995,0.968520543,0,0.984271153,0,0,200172.3246,0,203427.6363,0,0,0,0,0,0,0,0,0,0,-1848.8,-1848.8,-5828.28,0,-2572.97,0,0,0,0,206678.45,NONE,D,206678.45,0,0,5373639.7,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
10,FHA,1.64212E+18,120 Days Delinquent,129697.61,27,5,8/1/2021,KS,Balance Sheet,2/1/2022,180,2918.196225,130074.3192,132992.5154,1.002904519,0,0,1.003189237,0,0,0,0,130111.2464,0,0,1,1,0,0,1,0,0,0,882.14,882.14,0,0,919.07,0,0,0,3,0,NEC_B4,A,0,129697.61,0,648488.05,0,0,0,0,UNK,1,B4_Selector_10,0,0,0,0,1,0,0,0
11,FHA,1/14/2022,60 Days Delinquent,34040.92,440,3,10/1/2021,NY,GNMA,2/1/2022,120,510.6138,34089.69495,34600.30875,1.001432833,0,0,1.007244431,0,0,0,0,34287.5271,0,0,1,1,0,0,1,0,0,0,308.53,308.53,0,0,506.36,0,0,0,3,0,NEC_B4,A,0,34040.92,0,102122.76,0,0,0,0,UNK,1,B4_Selector_11,0,0,0,0,1,0,0,0
12,USDA,1/14/2022,60 Days Delinquent,102993.64,440,3,10/1/2021,LA,GNMA,2/1/2022,120,1373.248533,103463.4275,104836.6761,1.004561326,0.992865888,0,1.009487118,0,0,102258.8718,0,103970.7529,0,0,1,0,0,0,1,0,0,0,978.38,0,-226.17,0,1485.71,0,0,0,2,102993.64,NEC_B4,A,0,102993.64,0,308980.92,0,0,0,0,UNK,1,B4_Selector_12,0,0,0,0,1,0,0,0
13,VA,1/14/2022,60 Days Delinquent,283980.3,407,3,10/1/2021,PA,GNMA,2/1/2022,120,2839.803,282812.6526,285652.4556,0.99588828,0.987940343,0,0.99984413,0,0.996728075,280555.5949,0,283936.0359,0,283051.1377,0,0,0,0,0,0,0,0,-1962,-1962,-4219.06,0,-838.62,0,0,-1723.52,0,283980.3,NONE,A,0,283980.3,0,851940.9,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
14,FHA,1/14/2022,60 Days Delinquent,148857.75,408,3,10/1/2021,IN,GNMA,2/1/2022,120,1984.77,149091.2422,151076.0122,1.001568559,0,0,1.008189154,0,1.017647966,0,0,150076.7691,0,151484.7865,1,1,0,0,1,0,0,1,513.26,513.26,0,0,1498.79,0,0,2906.8,3,0,NEC_B5,A,0,148857.75,0,446573.25,0,0,0,0,UNK,1,B5_Selector_14,0,0,0,0,0,0,0,1
15,FHA,1/14/2022,Foreclosure,100782.32,442,23,2/1/2020,SC,GNMA,2/1/2022,720,9070.4088,92771.74491,101842.1537,0.920516068,0.898650372,0,0.921876089,0,1.002569764,90568.06937,0,92908.81104,0,101041.3068,1,0,0,0,1,0,0,1,1758.23,0,-445.45,0,1895.29,0,0,10027.79,2,0,NEC_B5,D,100782.32,0,0,2317993.36,0,0,0,0,UNK,1,B5_Selector_15,0,0,0,0,0,0,0,1
16,FHA,1/14/2022,120 Days Delinquent,84757.67,422,22,3/1/2020,MO,GNMA,2/1/2022,690,5685.827029,82297.27289,87983.09992,0.970971393,0.923431089,0,0.902752392,0,0.989824149,78267.8675,0,76515.18937,0,83895.18859,1,1,0,0,0,0,0,1,2649.89,2649.89,-1379.51,0,-3132.19,0,0,4247.81,2,0,NEC_B5,D,84757.67,0,0,1864668.74,0,0,0,0,UNK,1,B5_Selector_16,0,0,0,0,0,0,0,1
17,FHA,1/14/2022,60 Days Delinquent,49115.57,422,3,10/1/2021,AL,GNMA,2/1/2022,120,654.8742667,49383.23817,50038.11244,1.005449762,0,0,1.007254385,0,1.00801206,0,0,49471.87327,0,49509.08687,0,1,0,0,1,0,0,1,0,337.44,0,0,426.07,0,0,463.28,2,0,NEC_B5,A,0,49115.57,0,147346.71,0,0,0,0,UNK,1,B4_Selector_17,0,0,0,0,1,0,0,0
18,FHA,1/14/2022,60 Days Delinquent,40199.67,442,3,10/1/2021,GA,GNMA,2/1/2022,120,468.99615,40260.69557,40729.69172,1.001518061,0,0,1.000921124,0,1.007198943,0,0,40236.69887,0,40489.06513,0,1,0,0,1,0,0,1,0,230.56,0,0,206.56,0,0,458.93,2,0,NEC_B5,A,0,40199.67,0,120599.01,0,0,0,0,UNK,1,B5_Selector_18,0,0,0,0,0,0,0,1
19,FHA,1/14/2022,60 Days Delinquent,99977.63,422,3,10/1/2021,OH,GNMA,2/1/2022,120,1499.66445,100307.9878,101807.6522,1.003304317,0,0,1.008221469,0,1.020674129,0,0,100799.593,0,102044.5804,1,1,0,0,1,0,0,1,966.65,966.65,0,0,1458.26,0,0,2703.25,3,0,NEC_B5,A,0,99977.63,0,299932.89,0,0,0,0,UNK,1,B5_Selector_19,0,0,0,0,0,0,0,1
20,FHA,1/14/2022,Foreclosure,58699.83,442,44,5/1/2018,GA,GNMA,2/1/2022,1350,7704.352688,52665.22643,60369.57912,0.897195553,0,0,0.993598979,0,0,0,0,58324.09116,0,0,0,0,0,0,1,0,0,0,0,-5543.14,0,0,115.73,0,0,0,1,0,NEC_B4,D,58699.83,0,0,2582792.52,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
21,FHA,1/14/2022,60 Days Delinquent,49905.62,408,3,10/1/2021,TX,GNMA,2/1/2022,120,665.4082667,50333.97678,50999.38504,1.008583337,0,0,1.005366677,0,0,0,0,50173.44732,0,0,1,1,0,0,1,0,0,0,374.34,374.34,0,0,213.81,0,0,0,3,0,NEC_B1,A,0,49905.62,0,149716.86,0,0,0,0,UNK,1,B2_Selector_21,0,1,0,0,0,0,0,0
22,FHA,1/14/2022,60 Days Delinquent,136080.35,419,3,10/1/2021,PA,GNMA,2/1/2022,120,1587.604083,133999.4823,135587.0864,0.984708536,0,0,1.0055683,0,0,0,0,136838.0863,0,0,0,0,0,0,1,0,0,0,-2198.85,-2198.85,0,0,639.76,0,0,0,1,0,NEC_B4,A,0,136080.35,0,408241.05,0,0,0,0,UNK,1,B4_Selector_22,0,0,0,0,1,0,0,0
23,FHA,1/14/2022,60 Days Delinquent,62089.8,407,3,10/1/2021,CA,GNMA,2/1/2022,120,724.381,62341.20485,63065.58585,1.004049052,0.954354833,0,1.003349766,0,0,59255.70074,0,62297.78632,0,0,1,1,0,0,1,0,0,0,426.8,426.8,-2658.7,0,383.38,0,0,0,3,0,NEC_B1,A,0,62089.8,0,186269.4,0,0,0,0,UNK,1,B2_Selector_23,0,1,0,0,0,0,0,0
24,VA,1/14/2022,120 Days Delinquent,51062.3,422,17,8/1/2020,NY,GNMA,2/1/2022,540,2297.8035,49990.49024,52288.29374,0.979009763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1397.66,-1397.66,0,0,0,0,0,0,0,51062.3,NONE,D,51062.3,0,0,868059.1,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
25,FHA,1/14/2022,Foreclosure,63438.94,442,24,1/1/2020,AZ,GNMA,2/1/2022,750,6608.222917,58355.35228,64963.5752,0.919866446,0.937594389,0,0.928865532,0,1.005426756,59479.99422,0,58926.24478,0,63783.20762,1,1,1,0,1,0,0,1,155.68,155.68,1280.32,0,726.57,0,0,5583.53,4,0,NEC_B5,D,63438.94,0,0,1522534.56,0,0,0,0,UNK,1,B5_Selector_25,0,0,0,0,0,0,0,1
26,FHA,1/14/2022,Foreclosure,53465.12,407,34,3/1/2019,MO,GNMA,2/1/2022,1050,5457.897667,49059.85864,54517.75631,0.917604948,0,0,0.994877343,0,0,0,0,53191.23651,0,0,0,0,0,0,0,0,0,0,-4686.43,-4686.43,0,0,-555.05,0,0,0,0,0,NONE,D,53465.12,0,0,1817814.08,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
27,FHA,1/14/2022,120 Days Delinquent,89163.4,422,21,4/1/2020,IL,GNMA,2/1/2022,660,6538.649333,86965.39423,93504.04356,0.975348565,0.907312514,0,0.955776802,0,0.993078226,80899.06862,0,85220.30934,0,88546.2311,1,1,0,0,1,0,0,1,2478.08,2478.08,-3588.25,0,732.99,0,0,4058.91,3,0,NEC_B5,D,89163.4,0,0,1872431.4,0,0,0,0,UNK,1,B5_Selector_27,0,0,0,0,0,0,0,1
28,FHA,1/14/2022,60 Days Delinquent,46953.66,440,3,10/1/2021,NJ,GNMA,2/1/2022,120,1173.8415,48127.5015,49301.343,1.025,0,0,1.036913302,0,1.035,0,0,48686.87461,0,48597.0381,1,1,0,0,1,0,0,1,999.87,999.87,0,0,1559.24,0,0,1469.41,3,0,NEC_B4,A,0,46953.66,0,140860.98,0,0,0,0,UNK,1,B4_Selector_28,0,0,0,0,1,0,0,0
29,FHA,1/14/2022,60 Days Delinquent,62927.96,442,3,10/1/2021,OK,GNMA,2/1/2022,120,1048.799333,63685.05483,64733.85416,1.012031136,0.991661818,0,1.016208496,0,0,62403.25523,0,63947.92756,0,0,1,1,0,0,1,0,0,0,782.72,782.72,-499.08,0,1045.59,0,0,0,3,0,NEC_B4,A,0,62927.96,0,188783.88,0,0,0,0,UNK,1,B4_Selector_29,0,0,0,0,1,0,0,0
30,FHA,1/14/2022,90 Days Delinquent,61750.44,419,4,9/1/2021,ID,GNMA,2/1/2022,150,900.52725,61008.71941,61909.24666,0.987988416,0,0,1.001286299,0,0,0,0,61829.86956,0,0,0,0,0,0,1,0,0,0,-472.95,-472.95,0,0,348.2,0,0,0,1,0,NEC_B4,A,0,61750.44,0,247001.76,0,0,0,0,UNK,1,B4_Selector_30,0,0,0,0,1,0,0,0
31,FHA,1/14/2022,60 Days Delinquent,100937.05,454,3,10/1/2021,IN,GNMA,2/1/2022,120,1345.827333,102094.2732,103440.1005,1.011464801,0.994815006,0,1.011560402,0,0,100413.692,0,102103.9229,0,0,1,1,0,0,1,0,0,0,826.36,826.36,-854.23,0,836,0,0,0,3,0,NEC_B4,A,0,100937.05,0,302811.15,0,0,0,0,UNK,1,B2_Selector_31,0,1,0,0,0,0,0,0
32,FHA,1/14/2022,60 Days Delinquent,46727,454,3,10/1/2021,NJ,GNMA,2/1/2022,120,623.0266667,46554.62676,47177.65342,0.996311057,0,0,1.003542866,0,1.017818905,0,0,46892.54751,0,47559.62399,1,1,0,0,1,0,0,1,112.76,112.76,0,0,450.68,0,0,1117.75,3,0,NEC_B5,A,0,46727,0,140181,0,0,0,0,UNK,1,B5_Selector_32,0,0,0,0,0,0,0,1
33,FHA,1/14/2022,60 Days Delinquent,143757.36,422,3,10/1/2021,CA,GNMA,2/1/2022,120,1677.1692,144523.7575,146200.9267,1.005331188,0.985795037,0,1.004333311,0,0,141715.2921,0,144380.3053,0,0,1,1,0,0,1,0,0,0,1088.24,1088.24,-1720.22,0,944.79,0,0,0,3,0,NEC_B1,A,0,143757.36,0,431272.08,0,0,0,0,UNK,1,B2_Selector_33,0,1,0,0,0,0,0,0
34,FHA,1/14/2022,60 Days Delinquent,63344.71,418,3,10/1/2021,AZ,GNMA,2/1/2022,120,1161.319683,64659.43225,65820.75194,1.020755044,1.004705661,0,1.02117613,0,0,63642.78873,0,64686.10582,0,0,1,1,1,0,1,0,0,0,1061.26,1061.26,44.62,0,1087.93,0,0,0,4,0,NEC_B4,A,0,63344.71,0,190034.13,0,0,0,0,UNK,1,B4_Selector_34,0,0,0,0,1,0,0,0
35,FHA,1.64212E+18,120 Days Delinquent,39351.13,80,5,8/1/2021,MI,Balance Sheet,2/1/2022,180,787.0226,39585.09029,40372.11289,1.005945453,0,0,1.002678013,0,1.003563922,0,0,39456.51284,0,39491.37437,1,1,0,0,1,0,0,1,328.19,328.19,0,0,199.62,0,0,234.48,3,0,NEC_B1,A,0,39351.13,0,196755.65,0,0,0,0,UNK,1,B2_Selector_35,0,1,0,0,0,0,0,0
36,FHA,1/14/2022,60 Days Delinquent,183631.77,422,3,10/1/2021,VA,GNMA,2/1/2022,120,2142.37065,185193.0518,187335.4224,1.008502242,0.971488274,0,1.007149933,0,1.008871829,178396.1113,0,184944.7248,0,185260.9197,1,1,0,0,1,0,0,1,1204.43,1204.43,-5592.52,0,956.1,0,0,1272.29,3,0,NEC_B5,A,0,183631.77,0,550895.31,0,0,0,0,UNK,1,B2_Selector_36,0,1,0,0,0,0,0,0
37,FHA,1/14/2022,60 Days Delinquent,199625.17,454,3,10/1/2021,IL,GNMA,2/1/2022,120,2994.37755,200226.6583,203221.0358,1.003013088,1.000366709,0,1.006057076,0,1.030887094,199698.3744,0,200834.3149,0,205791.0114,1,1,1,0,1,0,0,1,2614.13,2614.13,2085.84,0,3221.78,0,0,8178.48,4,0,NEC_B5,A,0,199625.17,0,598875.51,0,0,0,0,UNK,1,B5_Selector_37,0,0,0,0,0,0,0,1
38,FHA,1/14/2022,120 Days Delinquent,47494.49,440,21,4/1/2020,MI,GNMA,2/1/2022,660,3482.929267,46596.46406,50079.39332,0.981091997,0,0,0.916183313,0,0.987087262,0,0,43513.65921,0,46881.2061,1,1,0,0,0,0,0,1,2236.2,2236.2,0,0,-846.61,0,0,2520.94,2,0,NEC_B5,D,47494.49,0,0,997384.29,0,0,0,0,UNK,1,B5_Selector_38,0,0,0,0,0,0,0,1
39,FHA,1/14/2022,60 Days Delinquent,126207.77,422,3,10/1/2021,WI,GNMA,2/1/2022,120,1472.423983,125337.1692,126809.5932,0.993101845,0.949644227,0,0.99260721,0,1.002471074,119852.4802,0,125274.7424,0,126519.6387,1,1,0,0,1,0,0,1,1129.91,1129.91,-4354.78,0,1067.48,0,0,2312.38,3,0,NEC_B5,A,0,126207.77,0,378623.31,0,0,0,0,UNK,1,B5_Selector_39,0,0,0,0,0,0,0,1
40,FHA,1/14/2022,60 Days Delinquent,86573.51,442,3,10/1/2021,LA,GNMA,2/1/2022,120,1587.181017,88004.9463,89592.12731,1.016534345,1.01,0,1.022447451,0,1.035,87439.2451,0,88516.86465,0,89603.58285,1,1,1,0,1,0,0,1,1032.88,1032.88,467.18,0,1544.8,0,0,2631.51,4,0,NEC_B5,A,0,86573.51,0,259720.53,0,0,0,0,UNK,1,B3_Selector_40,0,0,1,0,0,0,0,0
41,FHA,1/14/2022,Foreclosure,131545.71,407,27,10/1/2019,NY,GNMA,2/1/2022,840,9208.1997,117770.6387,126978.8384,0.895283007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7160.86,-7160.86,0,0,0,0,0,0,0,0,NONE,D,131545.71,0,0,3551734.17,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
42,USDA,1/14/2022,60 Days Delinquent,98522.22,428,3,10/1/2021,TX,GNMA,2/1/2022,120,1806.2407,100577.7296,102383.9703,1.020863411,1.01,0,1.027980332,0,0,99507.4422,0,101278.9044,0,0,1,0,1,0,1,0,0,0,2842.24,0,1771.95,0,3543.41,0,0,0,3,98522.22,NEC_B4,A,0,98522.22,0,295566.66,0,0,0,0,UNK,1,B4_Selector_42,0,0,0,0,1,0,0,0
43,FHA,1/14/2022,60 Days Delinquent,100839.25,419,3,10/1/2021,PA,GNMA,2/1/2022,120,1848.719583,101842.1197,103690.8393,1.009945232,1.003805639,0,1.018356714,0,1.035,101223.0078,0,102690.3273,0,104368.6238,1,1,1,0,1,0,0,1,1443.6,1443.6,824.49,0,2291.81,0,0,3970.1,4,0,NEC_B5,A,0,100839.25,0,302517.75,0,0,0,0,UNK,1,B5_Selector_43,0,0,0,0,0,0,0,1
44,FHA,1/14/2022,60 Days Delinquent,86270.58,419,3,10/1/2021,TX,GNMA,2/1/2022,120,1150.2744,87291.05607,88441.33047,1.011828784,0.958712314,0,1.007096673,0,1.016696619,82708.66737,0,86882.81411,0,87711.00705,1,1,0,0,1,0,0,1,718.96,718.96,-3863.43,0,310.72,0,0,1138.91,3,0,NEC_B5,A,0,86270.58,0,258811.74,0,0,0,0,UNK,1,B5_Selector_44,0,0,0,0,0,0,0,1
45,FHA,1/14/2022,60 Days Delinquent,69691.25,454,3,10/1/2021,MS,GNMA,2/1/2022,120,1393.825,71433.53125,72827.35625,1.025,1.003839539,0,1.021831699,0,1.035,69958.8323,0,71212.72839,0,72130.44375,0,1,1,0,1,0,0,1,0,1717.56,242.86,0,1496.76,0,0,2414.47,3,0,NEC_B5,A,0,69691.25,0,209073.75,0,0,0,0,UNK,1,B5_Selector_45,0,0,0,0,0,0,0,1
46,FHA,1/14/2022,60 Days Delinquent,131443.39,422,3,10/1/2021,FL,GNMA,2/1/2022,120,1752.578533,131719.6806,133472.2591,1.002101974,0,0,1.005918916,0,0,0,0,132221.3924,0,0,1,1,0,0,1,0,0,0,1108.79,1108.79,0,0,1610.5,0,0,0,3,0,NEC_B4,A,0,131443.39,0,394330.17,0,0,0,0,UNK,1,B4_Selector_46,0,0,0,0,1,0,0,0
47,FHA,1/14/2022,60 Days Delinquent,125987.19,454,3,10/1/2021,NC,GNMA,2/1/2022,120,2519.7438,129136.8698,131656.6136,1.025,1.01,0,1.026540177,0,1.035,127247.0619,0,129330.9124,0,130396.7417,1,1,1,0,1,0,0,1,2528.34,2528.34,638.54,0,2722.39,0,0,3788.22,4,0,NEC_B5,A,0,125987.19,0,377961.57,0,0,0,0,UNK,1,B3_Selector_47,0,0,1,0,0,0,0,0
48,FHA,1/14/2022,60 Days Delinquent,63763.92,423,3,10/1/2021,NC,GNMA,2/1/2022,120,850.1856,64334.66567,65184.85127,1.008950919,0.953144512,0,1.003548738,0,1.013990027,60776.23041,0,63990.20144,0,64655.97896,1,1,0,0,1,0,0,1,659.26,659.26,-2899.18,0,314.79,0,0,980.57,3,0,NEC_B5,A,0,63763.92,0,191291.76,0,0,0,0,UNK,1,B5_Selector_48,0,0,0,0,0,0,0,1
49,FHA,1/14/2022,60 Days Delinquent,92803.95,418,3,10/1/2021,NC,GNMA,2/1/2022,120,1392.05925,92208.50099,93600.56024,0.993583797,0,0,1.00909139,0,0,0,0,93647.66687,0,0,0,0,0,0,1,0,0,0,-743.3,-743.3,0,0,695.86,0,0,0,1,0,NEC_B4,A,0,92803.95,0,278411.85,0,0,0,0,UNK,1,B4_Selector_49,0,0,0,0,1,0,0,0
50,USDA,1/14/2022,Foreclosure,160613.07,413,32,5/1/2019,PA,GNMA,2/1/2022,990,15459.00799,159326.9103,174785.9183,0.991992185,0,0,1.001454092,0,0,0,0,160846.6161,0,0,0,0,0,0,0,0,0,0,-2236.3,0,0,0,-716.59,0,0,0,0,160613.07,NONE,D,160613.07,0,0,5139618.24,0,0,0,0,UNK,0,0,0,0,0,0,0,0,0,0
51,FHA,1/14/2022,60 Days Delinquent,88596.97,440,3,10/1/2021,WA,GNMA,2/1/2022,120,1919.601017,90050.87958,91970.4806,1.016410376,0,0,1.024410839,0,0,0,0,90759.69636,0,0,1,1,0,0,1,0,0,0,1509.95,1509.95,0,0,2218.77,0,0,0,3,0,NEC_B4,A,0,88596.97,0,265790.91,0,0,0,0,UNK,1,B4_Selector_51,0,0,0,0,1,0,0,0
52,FHA,1/14/2022,60 Days Delinquent,255405.59,424,3,10/1/2021,NY,GNMA,2/1/2022,120,2554.0559,253553.6116,256107.6675,0.992748873,0.977137378,0,0,0,0,249566.3485,0,0,0,0,1,1,0,0,0,0,0,0,647.48,647.48,-3339.79,0,0,0,0,0,2,0,NEC_B1,A,0,255405.59,0,766216.77,0,0,0,0,UNK,1,B2_Selector_52,0,1,0,0,0,0,0,0
53,FHA,1/14/2022,120 Days Delinquent,74904.78,407,25,12/1/2019,SC,GNMA,2/1/2022,780,4868.8107,72249.33712,77118.14782,0.964549086,0.933249463,0,0.958600044,0,0.976334461,69904.84569,0,71803.72538,0,73132.11801,1,0,0,0,0,0,0,1,294.51,0,-2049.98,0,-151.1,0,0,1177.29,1,0,NEC_B5,D,74904.78,0,0,1872619.5,0,0,0,0,UNK,1,B5_Selector_53,0,0,0,0,0,0,0,1
54,FHA,1/14/2022,60 Days Delinquent,91805.06,454,3,10/1/2021,TX,GNMA,2/1/2022,120,1836.1012,94100.1865,95936.2877,1.025,1.01,0,1.029831847,0,0,92723.1106,0,94543.77449,0,0,1,1,0,0,1,0,0,0,1294.12,1294.12,-82.96,0,1737.71,0,0,0,3,0,NEC_B4,A,0,91805.06,0,275415.18,0,0,0,0,UNK,1,B4_Selector_54,0,0,0,0,1,0,0,0
55,FHA,1.64212E+18,120 Days Delinquent,95264.73,80,12,1/1/2021,IN,Balance Sheet,2/1/2022,390,6192.20745,96656.25328,102848.4607,1.014606909,0,0,1.013282179,0,1.035,0,0,96530.05318,0,98598.99555,1,1,0,0,1,0,0,1,1200.01,1200.01,0,0,1073.81,0,0,3142.75,3,0,NEC_B5,D,95264.73,0,0,1143176.76,0,0,0,0,UNK,1,B5_Selector_55,0,0,0,0,0,0,0,1
56,FHA,1/14/2022,60 Days Delinquent,39950.92,426,3,10/1/2021,IL,GNMA,2/1/2022,120,865.6032667,40462.11033,41327.71359,1.012795458,0,0,1.024108604,0,0,0,0,40914.08091,0,0,1,1,0,0,1,0,0,0,761.17,761.17,0,0,1213.14,0,0,0,3,0,NEC_B4,A,0,39950.92,0,119852.76,0,0,0,0,UNK,1,B4_Selector_56,0,0,0,0,1,0,0,0
57,USDA,1/14/2022,60 Days Delinquent,82426.42,417,3,10/1/2021,OH,GNMA,2/1/2022,120,1236.3963,83168.28125,84404.67755,1.009000285,0,0,1.016946115,0,0,0,0,83823.22756,0,0,1,0,0,0,1,0,0,0,1043.39,0,0,0,1698.34,0,0,0,2,82426.42,NEC_B4,A,0,82426.42,0,247279.26,0,0,0,0,UNK,1,B4_Selector_57,0,0,0,0,1,0,0,0
58,FHA,1/14/2022,60 Days Delinquent,54924.64,405,3,10/1/2021,OK,GNMA,2/1/2022,120,640.7874667,54886.38578,55527.17325,0.999303515,0.936252712,0,1.002054559,0,0,51423.34318,0,55037.48591,0,0,1,1,0,0,1,0,0,0,200.06,200.06,-3262.99,0,351.16,0,0,0,3,0,NEC_B4,A,0,54924.64,0,164773.92,0,0,0,0,UNK,1,B4_Selector_58,0,0,0,0,1,0,0,0
59,FHA,1/14/2022,60 Days Delinquent,129741.01,440,3,10/1/2021,MS,GNMA,2/1/2022,120,2378.585183,132984.5353,135363.1204,1.025,1.01,0,1.023253687,0,0,131038.4201,0,132757.9669,0,0,0,1,1,0,1,0,0,0,0,2392.45,446.34,0,2165.88,0,0,0,3,0,NEC_B2,A,0,129741.01,0,389223.03,0,0,0,0,UNK,1,B2_Selector_59,0,1,0,0,0,0,0,0
60,FHA,1/14/2022,60 Days Delinquent,98371.16,442,3,10/1/2021,OH,GNMA,2/1/2022,120,1967.4232,99888.50989,101855.9331,1.015424743,1.01,0,1.025688475,0,1.035,99354.8716,0,100898.1651,0,101814.1506,1,1,1,0,1,0,0,1,1330.34,1330.34,796.71,0,2340,0,0,3255.98,4,0,NEC_B5,A,0,98371.16,0,295113.48,0,0,0,0,UNK,1,B4_Selector_60,0,0,0,0,1,0,0,0
